time,datetime,PS,QV10M,T10M,U50M,V50M
982486800000,2001-02-18 09:00:00,99835.046875,0.003850275883451104,276.0439453125,0.05795729160308838,-5.048511981964111
982490400000,2001-02-18 10:00:00,99857.328125,0.004013263154774904,277.98846435546875,0.10431122779846191,-4.8082756996154785
982494000000,2001-02-18 11:00:00,99849.0,0.004119719844311476,279.5457763671875,0.09970653057098389,-4.755825996398926
982497600000,2001-02-18 12:00:00,99819.1328125,0.004212599713355303,280.7065124511719,0.06074833869934082,-4.814074993133545
982501200000,2001-02-18 13:00:00,99802.5,0.004302069544792175,281.35723876953125,-0.006738901138305664,-4.923415184020996
982504800000,2001-02-18 14:00:00,99806.296875,0.004388939123600721,281.4664306640625,-0.10497069358825684,-5.200368881225586
982508400000,2001-02-18 15:00:00,99838.0859375,0.004603719338774681,280.98358154296875,0.23204100131988525,-5.5426249504089355
982512000000,2001-02-18 16:00:00,99883.5234375,0.004749951884150505,279.3443603515625,0.9885026216506958,-6.223670482635498
982515600000,2001-02-18 17:00:00,99943.53125,0.004600907675921917,278.0022277832031,0.7157710790634155,-7.241543292999268
982519200000,2001-02-18 18:00:00,99977.6875,0.004455442540347576,276.92901611328125,0.16137933731079102,-7.59791898727417
982522800000,2001-02-18 19:00:00,99992.4921875,0.004245277028530836,275.4915771484375,0.298347532749176,-7.521613121032715
982526400000,2001-02-18 20:00:00,100000.765625,0.004021896980702877,274.22991943359375,0.9295529127120972,-7.264026641845703
982530000000,2001-02-18 21:00:00,99978.9765625,0.0037950018886476755,273.3694763183594,1.0767167806625366,-6.98447847366333
982533600000,2001-02-18 22:00:00,99940.3125,0.0035939987283200026,272.58154296875,1.1974096298217773,-6.760004043579102
982537200000,2001-02-18 23:00:00,99906.9140625,0.003432010067626834,272.17889404296875,0.9075211882591248,-6.789103031158447
982540800000,2001-02-19 00:00:00,99878.921875,0.0033130422234535217,271.6459045410156,1.1775459051132202,-6.488546371459961
982544400000,2001-02-19 01:00:00,99850.6015625,0.0032073233742266893,271.351318359375,1.0634543895721436,-6.469025611877441
982548000000,2001-02-19 02:00:00,99819.3828125,0.0031399859581142664,271.09185791015625,1.30571448802948,-6.166461944580078
982551600000,2001-02-19 03:00:00,99812.90625,0.003060142043977976,270.7556457519531,1.3704794645309448,-6.10954475402832
982555200000,2001-02-19 04:00:00,99834.625,0.0030034524388611317,270.3334655761719,1.4483944177627563,-6.03243350982666
982558800000,2001-02-19 05:00:00,99877.171875,0.002942078048363328,270.3197021484375,1.2291126251220703,-5.879425525665283
982562400000,2001-02-19 06:00:00,99920.3203125,0.002916754689067602,269.9898681640625,1.764943242073059,-5.9679036140441895
982566000000,2001-02-19 07:00:00,99961.703125,0.0029475828632712364,270.70086669921875,1.8554950952529907,-5.8403520584106445
982569600000,2001-02-19 08:00:00,99986.9375,0.003129274118691683,272.5500183105469,1.7954872846603394,-5.998210906982422
982573200000,2001-02-19 09:00:00,100007.9375,0.0033004707656800747,275.14971923828125,1.433068037033081,-6.380814552307129
982576800000,2001-02-19 10:00:00,100010.484375,0.003475159639492631,277.27471923828125,1.2886072397232056,-7.019127368927002
982580400000,2001-02-19 11:00:00,100001.890625,0.00361590925604105,278.95013427734375,1.1163901090621948,-7.69541072845459
982584000000,2001-02-19 12:00:00,99977.25,0.003773001953959465,280.12274169921875,0.8950566053390503,-8.148880004882812
982587600000,2001-02-19 13:00:00,99951.46875,0.0039055715315043926,280.8441467285156,0.6299276351928711,-8.104568481445312
982591200000,2001-02-19 14:00:00,99923.671875,0.0040087709203362465,281.00848388671875,0.6605961322784424,-7.453412055969238
982594800000,2001-02-19 15:00:00,99902.2421875,0.00423838896676898,280.63165283203125,1.5768077373504639,-6.413926124572754
982598400000,2001-02-19 16:00:00,99899.28125,0.0043656895868480206,278.45477294921875,3.128472328186035,-6.484875679016113
982602000000,2001-02-19 17:00:00,99913.421875,0.004088469780981541,276.8343505859375,3.6129088401794434,-7.654365062713623
982605600000,2001-02-19 18:00:00,99920.59375,0.003971576690673828,276.3031921386719,3.144634485244751,-7.983252048492432
982609200000,2001-02-19 19:00:00,99925.4375,0.0038817611057311296,275.55596923828125,2.560575008392334,-7.775070667266846
982612800000,2001-02-19 20:00:00,99942.390625,0.0038173452485352755,274.7701110839844,2.241237163543701,-7.631131172180176
982616400000,2001-02-19 21:00:00,99959.1171875,0.003794236807152629,274.1083984375,2.083139181137085,-7.641930103302002
982620000000,2001-02-19 22:00:00,99955.8828125,0.003798256628215313,273.39984130859375,2.128573417663574,-7.253015518188477
982623600000,2001-02-19 23:00:00,99945.8984375,0.0037774478551000357,272.81878662109375,2.569211959838867,-6.966271877288818
982627200000,2001-02-20 00:00:00,99959.015625,0.0036456750240176916,272.70452880859375,2.6552882194519043,-6.668263912200928
982630800000,2001-02-20 01:00:00,99964.671875,0.0034857227001339197,272.30950927734375,2.704535722732544,-6.038296699523926
982634400000,2001-02-20 02:00:00,99953.9921875,0.003438143990933895,272.24200439453125,2.9614357948303223,-5.82485294342041
982638000000,2001-02-20 03:00:00,99939.125,0.0034378382842987776,272.3226623535156,3.1142120361328125,-5.73940896987915
982641600000,2001-02-20 04:00:00,99918.1953125,0.0034234405029565096,272.29815673828125,3.0879533290863037,-5.802731990814209
982645200000,2001-02-20 05:00:00,99925.0,0.003388984827324748,272.16912841796875,2.804396152496338,-6.130509853363037
982648800000,2001-02-20 06:00:00,99932.171875,0.0033518606796860695,272.0560607910156,2.4635260105133057,-6.289322376251221
